2,Soil,Salinity ,Moisture,PlantDate,Seeds,D5,D7,D9,D12,D14,D16,D19,D21,D23
34,PottingSoil,Freshwater,High,2/14/2024,146,5,3,3,11,6,3,0,0,0
35,PottingSoil,Freshwater,High,2/14/2024,146,0,2,9,0,1,0,3,2,0
36,PottingSoil,Freshwater,High,2/14/2024,146,3,3,5,0,0,0,0,0,0
37,PottingSoil,Saltwater,Low,2/14/2024,146,7,18,0,0,3,1,1,0,0
38,PottingSoil,Saltwater,Low,2/14/2024,146,16,16,0,0,2,1,2,4,0
39,PottingSoil,Saltwater,Low,2/14/2024,146,8,2,8,2,4,0,2,3,0
40,PottingSoil,Saltwater,Low,2/14/2024,146,5,6,3,7,0,0,0,1,0
41,PottingSoil,Saltwater,Low,2/14/2024,146,14,5,15,4,1,7,2,4,0
42,PottingSoil,Saltwater,Low,2/14/2024,146,8,3,12,2,3,3,0,1,2
43,PottingSoil,Saltwater,Medium,2/14/2024,146,14,14,0,17,8,0,2,3,0
44,PottingSoil,Saltwater,Medium,2/14/2024,146,10,11,1,8,0,0,0,2,0
45,PottingSoil,Saltwater,Medium,2/14/2024,146,7,5,5,7,6,2,0,0,0
46,PottingSoil,Saltwater,Medium,2/14/2024,146,10,1,9,5,5,1,5,0,2
47,PottingSoil,Saltwater,Medium,2/14/2024,146,17,6,17,0,2,2,3,3,0
48,PottingSoil,Saltwater,Medium,2/14/2024,146,6,13,10,0,6,10,0,3,0
49,PottingSoil,Saltwater,High,2/14/2024,146,14,7,5,4,0,0,16,8,0
50,PottingSoil,Saltwater,High,2/14/2024,146,7,13,7,0,0,0,0,4,1
51,PottingSoil,Saltwater,High,2/14/2024,146,5,3,5,4,0,2,0,0,1
52,PottingSoil,Saltwater,High,2/14/2024,146,11,24,4,0,0,0,7,0,0
53,PottingSoil,Saltwater,High,2/14/2024,146,5,0,11,4,2,0,0,7,0
54,PottingSoil,Saltwater,High,2/14/2024,146,3,1,7,4,0,0,2,0,0
55,PottingSoil,Freshwater,Low,2/14/2024,146,5,1,0,11,6,0,0,2,0
56,PottingSoil,Freshwater,Low,2/14/2024,146,2,5,2,0,8,0,2,6,0
57,PottingSoil,Freshwater,Low,2/14/2024,146,3,3,10,2,1,2,0,0,0
58,PottingSoil,Freshwater,Low,2/14/2024,146,6,3,5,7,4,0,3,2,0
59,PottingSoil,Freshwater,Low,2/14/2024,146,3,10,14,0,7,5,0,6,0
60,PottingSoil,Freshwater,Low,2/14/2024,146,4,12,2,7,0,0,0,4,0
61,PottingSoil,Freshwater,Medium,2/14/2024,146,3,6,2,10,0,4,0,4,0
62,PottingSoil,Freshwater,Medium,2/14/2024,146,3,3,2,3,0,1,4,1,1
63,PottingSoil,Freshwater,Medium,2/14/2024,146,2,5,1,3,2,3,6,0,0
64,PottingSoil,Freshwater,Medium,2/14/2024,146,4,5,0,0,4,0,0,2,0
65,PottingSoil,Freshwater,Medium,2/14/2024,146,9,9,5,2,3,1,7,9,0
66,PottingSoil,Freshwater,Medium,2/14/2024,146,1,5,6,0,0,2,3,0,1
67,PottingSoil,Freshwater,High,2/14/2024,146,2,6,0,0,2,0,2,3,1
68,PottingSoil,Freshwater,High,2/14/2024,146,12,1,8,8,0,3,3,2,0
69,PottingSoil,Freshwater,High,2/14/2024,146,2,3,0,1,6,5,1,1,0
70,PottingSoil,Freshwater,High,2/14/2024,146,2,5,0,15,0,0,4,0,0
71,PottingSoil,Freshwater,High,2/14/2024,146,3,1,9,1,2,0,10,5,0
72,PottingSoil,Freshwater,High,2/14/2024,146,5,0,6,0,0,0,10,1,0
73,HesterMimic,Saltwater,Low,2/14/2024,146,0,3,15,0,0,5,6,0,2
74,HesterMimic,Saltwater,Low,2/14/2024,146,2,3,7,0,0,0,7,0,0
75,HesterMimic,Saltwater,Low,2/14/2024,146,0,0,2,0,0,0,0,0,0
76,HesterMimic,Saltwater,Low,2/14/2024,146,0,1,3,0,0,2,0,2,0
77,HesterMimic,Saltwater,Low,2/14/2024,146,8,0,10,0,0,0,0,3,0
78,HesterMimic,Saltwater,Low,2/14/2024,146,4,0,0,0,0,0,0,0,0
79,HesterMimic,Saltwater,Medium,2/14/2024,146,2,7,5,0,1,2,0,0,0
80,HesterMimic,Saltwater,Medium,2/14/2024,146,0,4,1,6,4,1,1,1,3
81,HesterMimic,Saltwater,Medium,2/14/2024,146,1,5,0,5,2,0,6,1,3
82,HesterMimic,Saltwater,Medium,2/14/2024,146,2,2,5,0,0,0,2,0,0
83,HesterMimic,Saltwater,Medium,2/14/2024,146,2,2,0,1,0,0,0,0,0
84,HesterMimic,Saltwater,Medium,2/14/2024,146,2,7,14,0,5,4,0,0,0
85,HesterMimic,Saltwater,High,2/14/2024,146,8,3,2,15,0,4,5,7,0
86,HesterMimic,Saltwater,High,2/14/2024,146,0,3,3,7,0,5,7,0,0
87,HesterMimic,Saltwater,High,2/14/2024,146,0,2,0,3,2,1,1,0,0
88,HesterMimic,Saltwater,High,2/14/2024,146,0,2,0,14,4,7,8,0,0
89,HesterMimic,Saltwater,High,2/14/2024,146,0,0,1,6,0,1,2,1,0
90,HesterMimic,Saltwater,High,2/14/2024,146,0,2,2,2,0,1,2,1,0
91,HesterMimic,Freshwater,Low,2/14/2024,146,2,0,1,3,1,0,3,2,0
92,HesterMimic,Freshwater,Low,2/14/2024,146,0,12,1,0,12,0,9,0,0
93,HesterMimic,Freshwater,Low,2/14/2024,146,8,0,6,1,3,2,4,0,0
94,HesterMimic,Freshwater,Low,2/14/2024,146,0,1,2,0,0,0,2,2,0
95,HesterMimic,Freshwater,Low,2/14/2024,146,3,7,2,0,0,1,0,0,0
96,HesterMimic,Freshwater,Low,2/14/2024,146,2,2,0,0,0,1,0,0,0
97,HesterMimic,Freshwater,Medium,2/14/2024,146,2,3,0,8,0,8,3,0,2
98,HesterMimic,Freshwater,Medium,2/14/2024,146,4,2,4,3,0,7,1,5,1
99,HesterMimic,Freshwater,Medium,2/14/2024,146,0,3,0,5,4,7,4,0,0
100,HesterMimic,Freshwater,Medium,2/14/2024,146,2,3,3,1,0,7,0,1,0
101,HesterMimic,Freshwater,Medium,2/14/2024,146,2,1,1,8,1,0,8,0,0
102,HesterMimic,Freshwater,Medium,2/14/2024,146,1,2,5,5,0,3,2,0,2
103,HesterMimic,Freshwater,High,2/14/2024,146,0,1,1,1,0,0,3,0,3
104,HesterMimic,Freshwater,High,2/14/2024,146,3,0,2,0,0,3,0,1,0
105,HesterMimic,Freshwater,High,2/14/2024,146,3,1,4,9,6,2,4,1,0
106,HesterMimic,Freshwater,High,2/14/2024,146,1,2,0,7,1,0,3,0,2
107,HesterMimic,Freshwater,High,2/14/2024,146,4,4,7,0,0,2,0,0,0
108,HesterMimic,Freshwater,High,2/14/2024,146,1,1,3,1,0,2,3,0,0
109,HesterMimic,Saltwater,Low,2/14/2024,146,0,0,6,1,0,0,4,0,1
110,HesterMimic,Saltwater,Low,2/14/2024,146,2,3,5,0,1,2,0,6,0
111,HesterMimic,Saltwater,Low,2/14/2024,146,0,1,3,0,0,0,4,2,0
112,HesterMimic,Saltwater,Low,2/14/2024,146,1,1,2,0,1,0,0,1,1
113,HesterMimic,Saltwater,Low,2/14/2024,146,0,0,0,0,0,0,0,0,0
114,HesterMimic,Saltwater,Low,2/14/2024,146,0,0,0,0,0,0,0,2,0
115,HesterMimic,Saltwater,Medium,2/14/2024,146,3,1,3,0,0,1,0,0,0
116,HesterMimic,Saltwater,Medium,2/14/2024,146,5,0,3,4,3,3,5,5,2
117,HesterMimic,Saltwater,Medium,2/14/2024,146,2,5,0,10,0,0,6,0,0
118,HesterMimic,Saltwater,Medium,2/14/2024,146,5,3,1,0,0,0,1,0,0
119,HesterMimic,Saltwater,Medium,2/14/2024,146,3,5,0,0,0,0,1,0,0
120,HesterMimic,Saltwater,Medium,2/14/2024,146,0,1,0,1,2,1,3,0,0
121,HesterMimic,Saltwater,High,2/14/2024,146,0,0,4,0,1,0,5,0,2
122,HesterMimic,Saltwater,High,2/14/2024,146,3,0,0,4,0,6,3,0,1
123,HesterMimic,Saltwater,High,2/14/2024,146,1,2,9,17,0,2,13,0,0
124,HesterMimic,Saltwater,High,2/14/2024,146,2,0,4,11,8,5,5,0,0
125,HesterMimic,Saltwater,High,2/14/2024,146,0,0,3,11,0,0,10,0,4
126,HesterMimic,Saltwater,High,2/14/2024,146,2,0,4,14,0,20,6,0,4
127,HesterMimic,Freshwater,Low,2/14/2024,146,2,2,7,0,1,2,5,1,0
128,HesterMimic,Freshwater,Low,2/14/2024,146,2,6,0,0,5,0,5,0,0
129,HesterMimic,Freshwater,Low,2/14/2024,146,2,3,11,5,2,1,6,1,5
130,HesterMimic,Freshwater,Low,2/14/2024,146,3,4,11,0,3,3,3,0,0
131,HesterMimic,Freshwater,Low,2/14/2024,146,0,4,1,0,0,0,1,0,0
132,HesterMimic,Freshwater,Low,2/14/2024,146,0,9,5,0,0,1,0,0,0
133,HesterMimic,Freshwater,Medium,2/14/2024,146,0,3,0,2,1,0,4,7,0
134,HesterMimic,Freshwater,Medium,2/14/2024,146,2,5,1,7,8,4,0,0,2
135,HesterMimic,Freshwater,Medium,2/14/2024,146,5,7,0,19,9,0,10,0,2
136,HesterMimic,Freshwater,Medium,2/14/2024,146,1,4,0,6,5,0,6,1,0
137,HesterMimic,Freshwater,Medium,2/14/2024,146,2,10,0,10,0,6,0,0,0
138,HesterMimic,Freshwater,Medium,2/14/2024,146,2,5,0,2,9,3,1,2,0
139,HesterMimic,Freshwater,High,2/14/2024,146,0,5,0,9,0,2,10,0,1
140,HesterMimic,Freshwater,High,2/14/2024,146,1,1,0,3,0,2,0,0,0
141,HesterMimic,Freshwater,High,2/14/2024,146,1,0,0,8,1,1,0,0,0
142,HesterMimic,Freshwater,High,2/14/2024,146,1,0,0,2,0,8,0,2,0
143,HesterMimic,Freshwater,High,2/14/2024,146,1,0,2,0,1,1,1,0,0
144,HesterMimic,Freshwater,High,2/14/2024,146,2,0,4,2,7,18,2,0,0
