,,,Observer,,MS,"RJ, SF",MS,SF,MS,MS,MS,SF,SF,SF,MS,BL,MS,MS,Melany,Melany,Melany/Rikke,Melany/Rikke,Melany,Melany,Melany,Melany
129,Flat,Coir+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Flat,Coir+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Flat,PottingSoil+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Flat,PottingSoil+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Flat,PottingSoil+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Flat,PottingSoil+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Flat,PottingSoil+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Flat,PottingSoil+Paper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Furrow,None,Yes,174,0,0,0,0,1,2,0,0,,0,4,4,4,6,7,29,6,48,6,120,4,110
138,Furrow,None,Yes,174,0,0,0,0,1,1,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0
139,Furrow,None,Yes,174,0,0,0,0,1,1,0,1,,10,6,0,1,0,0,0,0,0,0,0,0,0
140,Furrow,None,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Furrow,None,Yes,174,0,0,0,0,1,0,0,0,,5,2,0,1,1,1,28,1,92,1,162,1,185
142,Furrow,None,Yes,174,0,0,0,0,7,8,1,1,,13,12,3,6,8,8,23,6,62,5,84,5,130
143,Ridge,None,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Ridge,None,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Ridge,None,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Ridge,None,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Ridge,None,Yes,174,0,0,0,0,2,2,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Ridge,None,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Furrow,PottingSoil,Yes,174,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0
150,Furrow,PottingSoil,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Furrow,PottingSoil,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Furrow,PottingSoil,Yes,174,0,0,0,0,0,0,0,0,,1,1,1,1,1,3,41,1,59,1,210,1,219
153,Furrow,PottingSoil,Yes,174,0,0,0,0,1,1,3,0,,2,1,0,0,0,0,0,0,0,0,0,0,0
154,Furrow,PottingSoil,Yes,174,0,0,0,0,1,2,3,0,,11,8,8,6,6,12,51,7,82,7,210,5,220
155,Ridge,PottingSoil,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Ridge,PottingSoil,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Ridge,PottingSoil,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Ridge,PottingSoil,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Ridge,PottingSoil,Yes,174,0,1 but doesn't look like pickleweed,1 but probably not pickleweed,1 but probably not pickleweed,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Ridge,PottingSoil,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Furrow,None,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Furrow,None,Control,174,0,0,0,0,0,1,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0
163,Furrow,None,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Furrow,None,Control,174,0,0,0,0,0,0,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,0
165,Furrow,None,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Furrow,None,Control,174,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
167,Ridge,None,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Ridge,None,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Ridge,None,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Ridge,None,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Ridge,None,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Ridge,None,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Ridge,GermPaper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Ridge,GermPaper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Ridge,GermPaper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Ridge,GermPaper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Ridge,GermPaper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Ridge,GermPaper,Yes,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Ridge,GermPaper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Ridge,GermPaper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Ridge,GermPaper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Ridge,GermPaper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Ridge,GermPaper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Ridge,GermPaper,Control,174,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
