ID,Experiment,Replicate,Phase,Site,SeedsSown,SeedsGerminated,GermProportion,Soil,Containment,Watering,Microtopography,SeedSource,SoilOrganicMatter,SoilBulkDensity,SoilVWaterContent,Elevation,MonthPrecipitation,AnnualPrecipitation,25mVeg
28,Summer23,28,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
29,Summer23,29,Phase1,Hester,50,3,0.06,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
30,Summer23,30,Phase1,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
31,Summer23,31,Phase1,Hester,50,1,0.02,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
32,Summer23,32,Phase1,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
33,Summer23,33,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
34,Summer23,34,Phase2,Hester,50,1,0.02,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
35,Summer23,35,Phase2,Hester,50,6,0.12,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
36,Summer23,36,Phase2,Hester,50,6,0.12,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
37,Summer23,37,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
38,Summer23,38,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
39,Summer23,39,Phase2,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
40,Summer23,40,Phase2,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
41,Summer23,41,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
42,Summer23,42,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
43,Summer23,43,Phase2,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
44,Summer23,44,Phase2,Hester,50,1,0.02,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
45,Summer23,45,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
46,Summer23,46,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
47,Summer23,47,Phase2,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
48,Summer23,48,Phase2,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
49,Summer23,49,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
50,Summer23,50,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
51,Summer23,51,Phase2,Hester,50,10,0.2,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
52,Summer23,52,Phase2,Hester,50,2,0.04,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
53,Summer23,53,Phase2,Hester,50,4,0.08,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
54,Summer23,54,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
55,Summer23,55,Phase2,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
56,Summer23,56,Phase2,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
57,Summer23,57,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
58,Summer23,58,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
59,Summer23,59,Phase2,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
60,Summer23,60,Phase2,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
61,Summer23,61,Phase2,Hester,50,0,0,Ambient,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
62,Summer23,62,Phase2,Hester,50,0,0,PeatPot,PeatPot,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
63,Summer23,63,Phase2,Hester,50,0,0,PottingSoil,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
64,Summer23,64,Phase2,Hester,50,0,0,Compost,None,Watered Every Other,Flat,Hester,NA,NA,NA,,,,
65,Winter24,101,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
66,Winter24,102,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
67,Winter24,103,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
68,Winter24,104,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
69,Winter24,105,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
70,Winter24,106,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
71,Winter24,113,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
72,Winter24,114,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
73,Winter24,115,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
74,Winter24,116,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
75,Winter24,117,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
76,Winter24,118,Phase2,Hester,,,#DIV/0!,YampahMud,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
77,Winter24,125,Phase2,Hester,,,#DIV/0!,Coir,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
78,Winter24,126,Phase2,Hester,,,#DIV/0!,Coir,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
79,Winter24,127,Phase2,Hester,,,#DIV/0!,Coir,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
80,Winter24,128,Phase2,Hester,,,#DIV/0!,Coir,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
81,Winter24,129,Phase2,Hester,,,#DIV/0!,Coir,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
82,Winter24,130,Phase2,Hester,,,#DIV/0!,Coir,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
83,Winter24,131,Phase2,Hester,,,#DIV/0!,PottingSoil,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
84,Winter24,132,Phase2,Hester,,,#DIV/0!,PottingSoil,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
85,Winter24,133,Phase2,Hester,,,#DIV/0!,PottingSoil,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
86,Winter24,134,Phase2,Hester,,,#DIV/0!,PottingSoil,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
87,Winter24,135,Phase2,Hester,,,#DIV/0!,PottingSoil,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
88,Winter24,136,Phase2,Hester,,,#DIV/0!,PottingSoil,GermPaper,None,Flat,Hester,NA,NA,NA,,,,
89,Winter24,137,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Furrow,Hester,NA,NA,NA,,,,
90,Winter24,138,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Furrow,Hester,NA,NA,NA,,,,
91,Winter24,139,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Furrow,Hester,NA,NA,NA,,,,
92,Winter24,140,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Furrow,Hester,NA,NA,NA,,,,
93,Winter24,141,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Furrow,Hester,NA,NA,NA,,,,
94,Winter24,142,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Furrow,Hester,NA,NA,NA,,,,
95,Winter24,143,Phase2,Hester,,0,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
96,Winter24,144,Phase2,Hester,,0,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
97,Winter24,145,Phase2,Hester,,0,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
98,Winter24,146,Phase2,Hester,,0,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
99,Winter24,147,Phase2,Hester,,0,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
100,Winter24,148,Phase2,Hester,,0,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
101,Winter24,149,Phase2,Hester,,3,#DIV/0!,PottingSoil,None,None,Furrow,Hester,NA,NA,NA,,,,
102,Winter24,150,Phase2,Hester,,5,#DIV/0!,PottingSoil,None,None,Furrow,Hester,NA,NA,NA,,,,
103,Winter24,151,Phase2,Hester,,7,#DIV/0!,PottingSoil,None,None,Furrow,Hester,NA,NA,NA,,,,
104,Winter24,152,Phase2,Hester,,6,#DIV/0!,PottingSoil,None,None,Furrow,Hester,NA,NA,NA,,,,
105,Winter24,153,Phase2,Hester,,6,#DIV/0!,PottingSoil,None,None,Furrow,Hester,NA,NA,NA,,,,
106,Winter24,154,Phase2,Hester,,0,#DIV/0!,PottingSoil,None,None,Furrow,Hester,NA,NA,NA,,,,
107,Winter24,155,Phase2,Hester,,0,#DIV/0!,PottingSoil,None,None,Ridge,Hester,NA,NA,NA,,,,
108,Winter24,156,Phase2,Hester,,0,#DIV/0!,PottingSoil,None,None,Ridge,Hester,NA,NA,NA,,,,
109,Winter24,157,Phase2,Hester,,0,#DIV/0!,PottingSoil,None,None,Ridge,Hester,NA,NA,NA,,,,
110,Winter24,158,Phase2,Hester,,0,#DIV/0!,PottingSoil,None,None,Ridge,Hester,NA,NA,NA,,,,
111,Winter24,159,Phase2,Hester,,0,#DIV/0!,PottingSoil,None,None,Ridge,Hester,NA,NA,NA,,,,
112,Winter24,160,Phase2,Hester,,0,#DIV/0!,PottingSoil,None,None,Ridge,Hester,NA,NA,NA,,,,
113,Winter24,173,Phase2,Hester,, ,#VALUE!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
114,Winter24,174,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
115,Winter24,175,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
116,Winter24,176,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
117,Winter24,177,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
118,Winter24,178,Phase2,Hester,,,#DIV/0!,Ambient,None,None,Ridge,Hester,NA,NA,NA,,,,
119,Winter26Transplant,1,NA,Azevedo,122,37,0.3032786885,Ambient,Ground,None,Flat,Estrada,59.21432155,0.1382098879,0.4803344973,,,,
120,Winter26Transplant,2,NA,Azevedo,122,35,0.2868852459,Ambient,Ground,None,Flat,Estrada,59.21432155,0.1382098879,0.4803344973,,,,
121,Winter26Transplant,3,NA,Azevedo,122,75,0.6147540984,Ambient,Ground,None,Flat,Estrada,59.21432155,0.1382098879,0.4803344973,,,,
122,Winter26Transplant,4,NA,Azevedo,122,3,0.02459016393,Ambient,Ground,None,Flat,Estrada,59.21432155,0.1382098879,0.4803344973,,,,
123,Winter26Transplant,5,NA,Azevedo,122,7,0.05737704918,Ambient,Ground,None,Flat,Estrada,59.21432155,0.1382098879,0.4803344973,,,,
124,Winter26Transplant,6,NA,Azevedo,122,0,0,Ambient,Ground,None,Flat,Estrada,NA,0.08178643632,0.5005146113,,,,
125,Winter26Transplant,7,NA,Azevedo,122,36,0.2950819672,Ambient,Ground,None,Flat,Estrada,NA,0.08178643632,0.5005146113,,,,
126,Winter26Transplant,8,NA,Azevedo,122,7,0.05737704918,Ambient,Ground,None,Flat,Estrada,NA,0.08178643632,0.5005146113,,,,
127,Winter26Transplant,9,NA,Azevedo,122,0,0,Ambient,Ground,None,Flat,Estrada,NA,0.08178643632,0.5005146113,,,,
128,Winter26Transplant,10,NA,Azevedo,122,5,0.04098360656,Ambient,Ground,None,Flat,Estrada,NA,0.08178643632,0.5005146113,,,,
129,Winter26Transplant,11,NA,Azevedo,92,1,0.01086956522,Ambient,Ground,None,Flat,Hester,NA,0.1501562213,0.5243245727,,,,
130,Winter26Transplant,12,NA,Azevedo,92,2,0.02173913043,Ambient,Ground,None,Flat,Hester,NA,0.1501562213,0.5243245727,,,,
131,Winter26Transplant,13,NA,Azevedo,92,0,0,Ambient,Ground,None,Flat,Hester,NA,0.1501562213,0.5243245727,,,,
132,Winter26Transplant,14,NA,Azevedo,92,0,0,Ambient,Ground,None,Flat,Hester,NA,0.1501562213,0.5243245727,,,,
133,Winter26Transplant,15,NA,Azevedo,92,1,0.01086956522,Ambient,Ground,None,Flat,Hester,NA,0.1501562213,0.5243245727,,,,
134,Winter26Transplant,16,NA,Azevedo,92,0,0,Ambient,Ground,None,Flat,Hester,NA,0.168351406,0.4157140232,,,,
135,Winter26Transplant,17,NA,Azevedo,92,0,0,Ambient,Ground,None,Flat,Hester,NA,0.168351406,0.4157140232,,,,
136,Winter26Transplant,18,NA,Azevedo,92,0,0,Ambient,Ground,None,Flat,Hester,NA,0.168351406,0.4157140232,,,,
137,Winter26Transplant,19,NA,Azevedo,92,0,0,Ambient,Ground,None,Flat,Hester,NA,0.168351406,0.4157140232,,,,
138,Winter26Transplant,20,NA,Azevedo,92,0,0,Ambient,Ground,None,Flat,Hester,NA,0.168351406,0.4157140232,,,,
139,Winter26Transplant,21,NA,Azevedo,101,1,0.009900990099,Ambient,Ground,None,Flat,SharkFlat,22.7059064,0.6471236905,0.557581327,,,,
140,Winter26Transplant,22,NA,Azevedo,101,4,0.0396039604,Ambient,Ground,None,Flat,SharkFlat,22.7059064,0.6471236905,0.557581327,,,,
141,Winter26Transplant,23,NA,Azevedo,101,0,0,Ambient,Ground,None,Flat,SharkFlat,22.7059064,0.6471236905,0.557581327,,,,
142,Winter26Transplant,24,NA,Azevedo,101,3,0.0297029703,Ambient,Ground,None,Flat,SharkFlat,22.7059064,0.6471236905,0.557581327,,,,
143,Winter26Transplant,25,NA,Azevedo,101,0,0,Ambient,Ground,None,Flat,SharkFlat,22.7059064,0.6471236905,0.557581327,,,,
144,Winter26Transplant,26,NA,Azevedo,101,3,0.0297029703,Ambient,Ground,None,Flat,SharkFlat,47.5628567,0.2306561294,0.4742565705,,,,
145,Winter26Transplant,27,NA,Azevedo,101,2,0.0198019802,Ambient,Ground,None,Flat,SharkFlat,47.5628567,0.2306561294,0.4742565705,,,,
146,Winter26Transplant,28,NA,Azevedo,101,4,0.0396039604,Ambient,Ground,None,Flat,SharkFlat,47.5628567,0.2306561294,0.4742565705,,,,
147,Winter26Transplant,29,NA,Azevedo,101,2,0.0198019802,Ambient,Ground,None,Flat,SharkFlat,47.5628567,0.2306561294,0.4742565705,,,,
148,Winter26Transplant,30,NA,Azevedo,101,4,0.0396039604,Ambient,Ground,None,Flat,SharkFlat,47.5628567,0.2306561294,0.4742565705,,,,
149,Winter26Transplant,41,Phase2,Hester,122,1,0.008196721311,Ambient,Ground,None,Flat,Estrada,1.987210542,1.547325859,0.3384506525,,,,
150,Winter26Transplant,42,Phase2,Hester,122,0,0,Ambient,Ground,None,Flat,Estrada,1.987210542,1.547325859,0.3384506525,,,,
151,Winter26Transplant,43,Phase2,Hester,122,1,0.008196721311,Ambient,Ground,None,Flat,Estrada,1.987210542,1.547325859,0.3384506525,,,,
152,Winter26Transplant,44,Phase2,Hester,122,1,0.008196721311,Ambient,Ground,None,Flat,Estrada,1.987210542,1.547325859,0.3384506525,,,,
153,Winter26Transplant,45,Phase2,Hester,122,3,0.02459016393,Ambient,Ground,None,Flat,Estrada,1.987210542,1.547325859,0.3384506525,,,,
154,Winter26Transplant,46,Phase2,Hester,122,,0,Ambient,Ground,None,Flat,Estrada,2.264717661,1.464620474,0.2593677633,,,,
155,Winter26Transplant,47,Phase2,Hester,122,1,0.008196721311,Ambient,Ground,None,Flat,Estrada,2.264717661,1.464620474,0.2593677633,,,,
156,Winter26Transplant,48,Phase2,Hester,122,1,0.008196721311,Ambient,Ground,None,Flat,Estrada,2.264717661,1.464620474,0.2593677633,,,,
157,Winter26Transplant,49,Phase2,Hester,122,2,0.01639344262,Ambient,Ground,None,Flat,Estrada,2.264717661,1.464620474,0.2593677633,,,,
158,Winter26Transplant,50,Phase2,Hester,122,0,0,Ambient,Ground,None,Flat,Estrada,2.264717661,1.464620474,0.2593677633,,,,
159,Winter26Transplant,51,Phase2,Hester,92,0,0,Ambient,Ground,None,Flat,Hester,2.608316486,1.585554126,0.2285057894,,,,
160,Winter26Transplant,52,Phase2,Hester,92,0,0,Ambient,Ground,None,Flat,Hester,2.608316486,1.585554126,0.2285057894,,,,
161,Winter26Transplant,53,Phase2,Hester,92,0,0,Ambient,Ground,None,Flat,Hester,2.608316486,1.585554126,0.2285057894,,,,
162,Winter26Transplant,54,Phase2,Hester,92,0,0,Ambient,Ground,None,Flat,Hester,2.608316486,1.585554126,0.2285057894,,,,
163,Winter26Transplant,55,Phase2,Hester,92,0,0,Ambient,Ground,None,Flat,Hester,2.608316486,1.585554126,0.2285057894,,,,
164,Winter26Transplant,56,Phase2,Hester,92,0,0,Ambient,Ground,None,Flat,Hester,2.311562949,1.573791582,0.2140782944,,,,
165,Winter26Transplant,57,Phase2,Hester,92,0,0,Ambient,Ground,None,Flat,Hester,2.311562949,1.573791582,0.2140782944,,,,
166,Winter26Transplant,58,Phase2,Hester,92,0,0,Ambient,Ground,None,Flat,Hester,2.311562949,1.573791582,0.2140782944,,,,
167,Winter26Transplant,59,Phase2,Hester,92,0,0,Ambient,Ground,None,Flat,Hester,2.311562949,1.573791582,0.2140782944,,,,
168,Winter26Transplant,60,Phase2,Hester,92,0,0,Ambient,Ground,None,Flat,Hester,2.311562949,1.573791582,0.2140782944,,,,
169,Winter26Transplant,61,Phase2,Hester,101,0,0,Ambient,Ground,None,Flat,SharkFlat,3.017840823,1.485204926,0.2112479324,,,,
170,Winter26Transplant,62,Phase2,Hester,101,0,0,Ambient,Ground,None,Flat,SharkFlat,3.017840823,1.485204926,0.2112479324,,,,
171,Winter26Transplant,63,Phase2,Hester,101,0,0,Ambient,Ground,None,Flat,SharkFlat,3.017840823,1.485204926,0.2112479324,,,,
172,Winter26Transplant,64,Phase2,Hester,101,0,0,Ambient,Ground,None,Flat,SharkFlat,3.017840823,1.485204926,0.2112479324,,,,
173,Winter26Transplant,65,Phase2,Hester,101,0,0,Ambient,Ground,None,Flat,SharkFlat,3.017840823,1.485204926,0.2112479324,,,,
174,Winter26Transplant,66,Phase2,Hester,101,0,0,Ambient,Ground,None,Flat,SharkFlat,1.814148137,1.489615879,0.2359272193,,,,
175,Winter26Transplant,67,Phase2,Hester,101,0,0,Ambient,Ground,None,Flat,SharkFlat,1.814148137,1.489615879,0.2359272193,,,,
176,Winter26Transplant,68,Phase2,Hester,101,0,0,Ambient,Ground,None,Flat,SharkFlat,1.814148137,1.489615879,0.2359272193,,,,
177,Winter26Transplant,69,Phase2,Hester,101,0,0,Ambient,Ground,None,Flat,SharkFlat,1.814148137,1.489615879,0.2359272193,,,,
178,Winter26Transplant,70,Phase2,Hester,101,0,0,Ambient,Ground,None,Flat,SharkFlat,1.814148137,1.489615879,0.2359272193,,,,
179,Winter26Transplant,81,NA,SharkFlats,122,0,0,Ambient,Ground,None,Flat,Estrada,20.14419478,0.638117993,0.2577890094,,,,
180,Winter26Transplant,82,NA,SharkFlats,122,0,0,Ambient,Ground,None,Flat,Estrada,20.14419478,0.638117993,0.2577890094,,,,
181,Winter26Transplant,83,NA,SharkFlats,122,0,0,Ambient,Ground,None,Flat,Estrada,20.14419478,0.638117993,0.2577890094,,,,
182,Winter26Transplant,84,NA,SharkFlats,122,0,0,Ambient,Ground,None,Flat,Estrada,20.14419478,0.638117993,0.2577890094,,,,
183,Winter26Transplant,85,NA,SharkFlats,122,0,0,Ambient,Ground,None,Flat,Estrada,20.14419478,0.638117993,0.2577890094,,,,
184,Winter26Transplant,86,NA,SharkFlats,122,0,0,Ambient,Ground,None,Flat,Estrada,18.56840179,0.6860871163,0.3867267046,,,,
185,Winter26Transplant,87,NA,SharkFlats,122,0,0,Ambient,Ground,None,Flat,Estrada,18.56840179,0.6860871163,0.3867267046,,,,
186,Winter26Transplant,88,NA,SharkFlats,122,0,0,Ambient,Ground,None,Flat,Estrada,18.56840179,0.6860871163,0.3867267046,,,,
187,Winter26Transplant,89,NA,SharkFlats,122,0,0,Ambient,Ground,None,Flat,Estrada,18.56840179,0.6860871163,0.3867267046,,,,
188,Winter26Transplant,90,NA,SharkFlats,122,0,0,Ambient,Ground,None,Flat,Estrada,18.56840179,0.6860871163,0.3867267046,,,,
189,Winter26Transplant,91,NA,SharkFlats,92,2,0.02173913043,Ambient,Ground,None,Flat,Hester,17.7831554,0.8707958096,0.5241077008,,,,
190,Winter26Transplant,92,NA,SharkFlats,92,0,0,Ambient,Ground,None,Flat,Hester,17.7831554,0.8707958096,0.5241077008,,,,
191,Winter26Transplant,93,NA,SharkFlats,92,0,0,Ambient,Ground,None,Flat,Hester,17.7831554,0.8707958096,0.5241077008,,,,
192,Winter26Transplant,94,NA,SharkFlats,92,0,0,Ambient,Ground,None,Flat,Hester,17.7831554,0.8707958096,0.5241077008,,,,
193,Winter26Transplant,95,NA,SharkFlats,92,0,0,Ambient,Ground,None,Flat,Hester,17.7831554,0.8707958096,0.5241077008,,,,
194,Winter26Transplant,96,NA,SharkFlats,92,0,0,Ambient,Ground,None,Flat,Hester,12.96169132,0.9674692152,0.5084874104,,,,
195,Winter26Transplant,97,NA,SharkFlats,92,0,0,Ambient,Ground,None,Flat,Hester,12.96169132,0.9674692152,0.5084874104,,,,
196,Winter26Transplant,98,NA,SharkFlats,92,0,0,Ambient,Ground,None,Flat,Hester,12.96169132,0.9674692152,0.5084874104,,,,
197,Winter26Transplant,99,NA,SharkFlats,92,0,0,Ambient,Ground,None,Flat,Hester,12.96169132,0.9674692152,0.5084874104,,,,
198,Winter26Transplant,100,NA,SharkFlats,92,0,0,Ambient,Ground,None,Flat,Hester,12.96169132,0.9674692152,0.5084874104,,,,
199,Winter26Transplant,101,NA,SharkFlats,101,18,0.1782178218,Ambient,Ground,None,Flat,SharkFlat,14.10558578,0.7107149421,0.3002573056,,,,
200,Winter26Transplant,102,NA,SharkFlats,101,5,0.0495049505,Ambient,Ground,None,Flat,SharkFlat,14.10558578,0.7107149421,0.3002573056,,,,
201,Winter26Transplant,103,NA,SharkFlats,101,17,0.1683168317,Ambient,Ground,None,Flat,SharkFlat,14.10558578,0.7107149421,0.3002573056,,,,
202,Winter26Transplant,104,NA,SharkFlats,101,9,0.08910891089,Ambient,Ground,None,Flat,SharkFlat,14.10558578,0.7107149421,0.3002573056,,,,
203,Winter26Transplant,105,NA,SharkFlats,101,6,0.05940594059,Ambient,Ground,None,Flat,SharkFlat,14.10558578,0.7107149421,0.3002573056,,,,
204,Winter26Transplant,106,NA,SharkFlats,101,2,0.0198019802,Ambient,Ground,None,Flat,SharkFlat,14.28081218,0.9672854255,0.4384598419,,,,
205,Winter26Transplant,107,NA,SharkFlats,101,8,0.07920792079,Ambient,Ground,None,Flat,SharkFlat,14.28081218,0.9672854255,0.4384598419,,,,
