IDTag,TidalCat,SiteID,Source,SiteType,Succulence,Transect ,Elevation,Seeds,Total,Rate
129,Restored,Restored,HesterP1,Restoration,Brown,4.1,1.637,2,50,0.04
130,Restored,Restored,HesterP1,Restoration,Brown,4.1,1.637,13,50,0.26
131,Natural,Natural 2,Yampah,Natural,Brown,1,2.207,1,50,0.02
132,Natural,Natural 2,Yampah,Natural,Brown,1,2.207,2,50,0.04
133,Natural,Natural 2,Yampah,Natural,Brown,1,2.207,4,50,0.08
134,Natural,Natural 2,Yampah,Natural,Brown,1,2.207,3,50,0.06
135,Natural,Natural 2,Yampah,Natural,Brown,1,2.207,0,50,0
136,Natural,Natural 2,Yampah,Natural,Brown,1,2.207,7,50,0.14
137,Natural,Natural 2,Yampah,Natural,Brown,1,2.207,3,50,0.06
138,Natural,Natural 2,Yampah,Natural,Brown,1,2.207,11,50,0.22
139,Natural,Natural 2,Yampah,Natural,Brown,1,2.207,11,50,0.22
140,Natural,Natural 2,Yampah,Natural,Brown,1,2.207,5,50,0.1
141,Natural,Natural 2,Yampah,Natural,Brown,2,1.568,0,50,0
142,Natural,Natural 2,Yampah,Natural,Brown,2,1.568,11,50,0.22
143,Natural,Natural 2,Yampah,Natural,Brown,2,1.568,0,50,0
144,Natural,Natural 2,Yampah,Natural,Brown,2,1.568,17,50,0.34
145,Natural,Natural 2,Yampah,Natural,Brown,2,1.568,2,50,0.04
146,Natural,Natural 2,Yampah,Natural,Brown,2,1.568,0,50,0
147,Natural,Natural 2,Yampah,Natural,Brown,2,1.568,0,50,0
148,Natural,Natural 2,Yampah,Natural,Brown,2,1.568,1,50,0.02
149,Natural,Natural 2,Yampah,Natural,Brown,2,1.568,4,50,0.08
150,Natural,Natural 2,Yampah,Natural,Brown,2,1.568,0,50,0
151,Natural,Natural 2,Yampah,Natural,Brown,3,1.545,3,50,0.06
152,Natural,Natural 2,Yampah,Natural,Brown,3,1.545,1,50,0.02
153,Natural,Natural 2,Yampah,Natural,Brown,3,1.545,4,50,0.08
154,Natural,Natural 2,Yampah,Natural,Brown,3,1.545,0,50,0
155,Natural,Natural 2,Yampah,Natural,Brown,3,1.545,1,50,0.02
156,Natural,Natural 2,Yampah,Natural,Brown,3,1.545,2,50,0.04
157,Natural,Natural 2,Yampah,Natural,Brown,3,1.545,2,50,0.04
158,Natural,Natural 2,Yampah,Natural,Brown,3,1.545,0,50,0
159,Natural,Natural 2,Yampah,Natural,Brown,3,1.545,1,50,0.02
160,Natural,Natural 2,Yampah,Natural,Brown,3,1.545,0,50,0
161,Natural,Natural 6,Azevedo ,Natural,Succulent,1,2.322,4,50,0.08
162,Natural,Natural 6,Azevedo ,Natural,Succulent,1,2.322,0,50,0
163,Natural,Natural 6,Azevedo ,Natural,Succulent,1,2.322,20,50,0.4
164,Natural,Natural 6,Azevedo ,Natural,Succulent,1,2.322,5,50,0.1
165,Natural,Natural 6,Azevedo ,Natural,Succulent,1,2.322,0,50,0
166,Natural,Natural 6,Azevedo ,Natural,Brown,1,2.322,0,50,0
167,Natural,Natural 6,Azevedo ,Natural,Brown,1,2.322,0,50,0
168,Natural,Natural 6,Azevedo ,Natural,Brown,1,2.322,3,50,0.06
169,Natural,Natural 6,Azevedo ,Natural,Brown,1,2.322,16,50,0.32
170,Natural,Natural 6,Azevedo ,Natural,Brown,1,2.322,0,50,0
171,Natural,Natural 6,Azevedo ,Natural,Succulent,2,1.668,9,50,0.18
172,Natural,Natural 6,Azevedo ,Natural,Succulent,2,1.668,6,50,0.12
173,Natural,Natural 6,Azevedo ,Natural,Succulent,2,1.668,5,50,0.1
174,Natural,Natural 6,Azevedo ,Natural,Succulent,2,1.668,0,50,0
175,Natural,Natural 6,Azevedo ,Natural,Succulent,2,1.668,7,50,0.14
176,Natural,Natural 6,Azevedo ,Natural,Brown,2,1.668,7,50,0.14
177,Natural,Natural 6,Azevedo ,Natural,Brown,2,1.668,4,50,0.08
178,Natural,Natural 6,Azevedo ,Natural,Brown,2,1.668,0,50,0
179,Natural,Natural 6,Azevedo ,Natural,Brown,2,1.668,0,50,0
180,Natural,Natural 6,Azevedo ,Natural,Brown,2,1.668,0,50,0
181,Natural,Natural 6,Azevedo ,Natural,Succulent,3,1.634,1,50,0.02
182,Natural,Natural 6,Azevedo ,Natural,Succulent,3,1.634,3,50,0.06
183,Natural,Natural 6,Azevedo ,Natural,Succulent,3,1.634,0,50,0
184,Natural,Natural 6,Azevedo ,Natural,Succulent,3,1.634,1,50,0.02
185,Natural,Natural 6,Azevedo ,Natural,Succulent,3,1.634,1,50,0.02
186,Natural,Natural 6,Azevedo ,Natural,Brown,3,1.634,2,50,0.04
187,Natural,Natural 6,Azevedo ,Natural,Brown,3,1.634,0,50,0
188,Natural,Natural 6,Azevedo ,Natural,Brown,3,1.634,1,50,0.02
189,Natural,Natural 6,Azevedo ,Natural,Brown,3,1.634,1,50,0.02
190,Natural,Natural 6,Azevedo ,Natural,Brown,3,1.634,0,50,0
191,Natural,Natural 1,Hudson,Natural,Succulent,1,2.216,2,50,0.04
192,Natural,Natural 1,Hudson,Natural,Succulent,1,2.216,1,50,0.02
193,Natural,Natural 1,Hudson,Natural,Succulent,1,2.216,4,50,0.08
194,Natural,Natural 1,Hudson,Natural,Succulent,1,2.216,3,50,0.06
195,Natural,Natural 1,Hudson,Natural,Succulent,1,2.216,1,50,0.02
196,Natural,Natural 1,Hudson,Natural,Brown,1,2.216,3,50,0.06
197,Natural,Natural 1,Hudson,Natural,Brown,1,2.216,4,50,0.08
198,Natural,Natural 1,Hudson,Natural,Brown,1,2.216,1,50,0.02
199,Natural,Natural 1,Hudson,Natural,Brown,1,2.216,2,50,0.04
200,Natural,Natural 1,Hudson,Natural,Brown,1,2.216,4,50,0.08
201,Natural,Natural 1,Hudson,Natural,Succulent,2,1.773,2,50,0.04
202,Natural,Natural 1,Hudson,Natural,Succulent,2,1.773,1,50,0.02
203,Natural,Natural 1,Hudson,Natural,Succulent,2,1.773,2,50,0.04
204,Natural,Natural 1,Hudson,Natural,Succulent,2,1.773,0,50,0
205,Natural,Natural 1,Hudson,Natural,Succulent,2,1.773,0,50,0
206,Natural,Natural 1,Hudson,Natural,Brown,2,1.773,0,50,0
207,Natural,Natural 1,Hudson,Natural,Brown,2,1.773,2,50,0.04
208,Natural,Natural 1,Hudson,Natural,Brown,2,1.773,0,50,0
209,Natural,Natural 1,Hudson,Natural,Brown,2,1.773,0,50,0
210,Natural,Natural 1,Hudson,Natural,Brown,2,1.773,1,50,0.02
211,Natural,Natural 1,Hudson,Natural,Succulent,3,1.792,2,50,0.04
212,Natural,Natural 1,Hudson,Natural,Succulent,3,1.792,2,50,0.04
213,Natural,Natural 1,Hudson,Natural,Succulent,3,1.792,1,50,0.02
214,Natural,Natural 1,Hudson,Natural,Succulent,3,1.792,0,50,0
215,Natural,Natural 1,Hudson,Natural,Succulent,3,1.792,2,50,0.04
216,Natural,Natural 1,Hudson,Natural,Brown,3,1.792,1,50,0.02
217,Natural,Natural 1,Hudson,Natural,Brown,3,1.792,0,50,0
218,Natural,Natural 1,Hudson,Natural,Brown,3,1.792,0,50,0
219,Natural,Natural 1,Hudson,Natural,Brown,3,1.792,1,50,0.02
220,Natural,Natural 1,Hudson,Natural,Brown,3,1.792,0,50,0
221,Natural,Natural 3,OSRC,Natural,Brown,1,2.165,24,50,0.48
222,Natural,Natural 3,OSRC,Natural,Brown,1,2.165,2,50,0.04
223,Natural,Natural 3,OSRC,Natural,Brown,1,2.165,19,50,0.38
224,Natural,Natural 3,OSRC,Natural,Brown,1,2.165,22,50,0.44
225,Natural,Natural 3,OSRC,Natural,Brown,1,2.165,6,50,0.12
226,Natural,Natural 3,OSRC,Natural,Brown,1,2.165,7,50,0.14
227,Natural,Natural 3,OSRC,Natural,Brown,1,2.165,3,50,0.06
228,Natural,Natural 3,OSRC,Natural,Brown,1,2.165,1,50,0.02
229,Natural,Natural 3,OSRC,Natural,Brown,1,2.165,0,50,0
230,Natural,Natural 3,OSRC,Natural,Brown,1,2.165,0,50,0
231,Natural,Natural 3,OSRC,Natural,Brown,2,1.773,1,50,0.02
232,Natural,Natural 3,OSRC,Natural,Brown,2,1.773,0,50,0
233,Natural,Natural 3,OSRC,Natural,Brown,2,1.773,0,50,0
234,Natural,Natural 3,OSRC,Natural,Brown,2,1.773,1,50,0.02
235,Natural,Natural 3,OSRC,Natural,Brown,2,1.773,1,50,0.02
236,Natural,Natural 3,OSRC,Natural,Brown,2,1.773,1,50,0.02
237,Natural,Natural 3,OSRC,Natural,Brown,2,1.773,11,50,0.22
238,Natural,Natural 3,OSRC,Natural,Brown,2,1.773,2,50,0.04
239,Natural,Natural 3,OSRC,Natural,Brown,2,1.773,0,50,0
240,Natural,Natural 3,OSRC,Natural,Brown,2,1.773,8,50,0.16
241,Natural,Natural 3,OSRC,Natural,Brown,4,1.674,3,50,0.06
242,Natural,Natural 3,OSRC,Natural,Brown,4,1.674,1,50,0.02
243,Natural,Natural 3,OSRC,Natural,Brown,4,1.674,1,50,0.02
244,Natural,Natural 3,OSRC,Natural,Brown,4,1.674,0,50,0
245,Natural,Natural 3,OSRC,Natural,Brown,4,1.674,0,50,0
246,Natural,Natural 3,OSRC,Natural,Brown,4,1.674,0,50,0
247,Natural,Natural 3,OSRC,Natural,Brown,4,1.674,1,50,0.02
248,Natural,Natural 3,OSRC,Natural,Brown,4,1.674,0,50,0
249,Natural,Natural 3,OSRC,Natural,Brown,4,1.674,0,50,0
250,Natural,Natural 3,OSRC,Natural,Brown,4,1.674,0,50,0
