TagID,Soil Type,TidalCat,SiteID,Seed Source,Seeds,3/25/2024,3/26/2024,3/27/2024,3/28/2024,3/29/2024,3/31/2024,4/1/2024,4/2/2024,4/3/2024,4/8/2024,4/11/2024,4/17/2024,4/23/2024
63,Combo,Muted,Muted1,MidAzevedo,169,0,0,2,12,21,24,18,21,24,33,41,45,43
64,Combo,Muted,Muted1,MidAzevedo,169,0,0,5,9,18,18,30,33,38,54,49,57,59
65,Combo,Muted,Muted1,MidAzevedo,169,1,1,4,12,16,18,33,35,45,53,56,63,63
66,Combo,Muted,Muted1,MidAzevedo,169,0,0,2,6,5,2,5,8,10,37,47,41,30
67,Hester,Muted,Muted1,MidAzevedo,169,0,0,1,7,8,7,6,17,20,23,35,51,57
68,Hester,Muted,Muted1,MidAzevedo,169,0,1,0,6,5,5,7,8,13,22,8,21,24
69,Hester,Muted,Muted1,MidAzevedo,169,0,0,0,0,1,0,2,2,4,7,9,15,17
70,Hester,Muted,Muted1,MidAzevedo,169,0,0,0,4,6,6,6,6,5,3,8,15,25
71,Hester,Muted,Muted1,MidAzevedo,169,0,0,0,2,3,1,0,0,0,3,0,1,7
72,Hester,Muted,Muted1,MidAzevedo,169,0,0,0,1,1,1,4,4,8,13,12,29,31
73,Potting Soil,Muted,Muted4,MLWA,156,1,6,13,16,26,32,41,42,52,62,30,54,67
74,Potting Soil,Muted,Muted4,MLWA,156,1,4,12,15,25,21,33,33,47,50,20,46,49
75,Potting Soil,Muted,Muted4,MLWA,156,0,0,15,22,21,23,29,39,42,59,25,61,56
76,Potting Soil,Muted,Muted4,MLWA,156,0,0,9,12,12,17,23,20,32,39,39,36,51
77,Potting Soil,Muted,Muted4,MLWA,156,0,0,1,6,12,14,17,14,26,32,50,57,59
78,Potting Soil,Muted,Muted4,MLWA,156,1,1,1,2,5,8,10,12,12,25,30,39,48
79,Combo,Muted,Muted4,MLWA,156,0,0,2,7,6,12,8,12,17,24,28,30,32
80,Combo,Muted,Muted4,MLWA,156,0,0,5,13,11,14,16,23,21,34,38,48,45
81,Combo,Muted,Muted4,MLWA,156,1,0,2,5,8,8,9,9,17,22,27,29,32
82,Combo,Muted,Muted4,MLWA,156,0,0,1,4,2,3,5,8,11,19,29,33,37
83,Combo,Muted,Muted4,MLWA,156,0,0,4,6,10,10,14,14,14,24,32,37,41
84,Combo,Muted,Muted4,MLWA,156,0,0,2,3,4,7,7,11,14,25,42,60,65
85,Hester,Muted,Muted4,MLWA,156,0,4,12,15,18,18,14,20,13,33,41,56,50
86,Hester,Muted,Muted4,MLWA,156,0,1,3,3,3,4,4,4,12,8,11,18,22
87,Hester,Muted,Muted4,MLWA,156,0,2,6,6,7,7,4,9,16,21,29,33,33
88,Hester,Muted,Muted4,MLWA,156,1,3,4,6,4,9,6,12,12,6,11,14,13
89,Hester,Muted,Muted4,MLWA,156,0,1,1,3,4,7,5,9,12,21,24,27,24
90,Hester,Muted,Muted4,MLWA,156,0,0,1,2,2,3,4,4,4,6,7,7,12
91,Potting Soil,Restored,Restored1,P1,131,2,2,4,9,13,15,17,24,32,38,50,60,57
92,Potting Soil,Restored,Restored1,P1,131,0,6,9,11,6,7,18,22,27,33,34,38,45
93,Potting Soil,Restored,Restored1,P1,131,0,1,2,4,4,4,9,10,13,28,28,32,30
94,Potting Soil,Restored,Restored1,P1,131,0,0,5,11,12,16,27,29,29,38,38,40,38
95,Potting Soil,Restored,Restored1,P1,131,1,1,2,3,4,6,12,13,17,26,34,46,44
96,Potting Soil,Restored,Restored1,P1,131,4,0,9,9,8,12,21,27,33,41,46,51,52
97,Combo,Restored,Restored1,P1,131,0,0,4,4,3,7,10,10,15,23,35,48,50
98,Combo,Restored,Restored1,P1,131,0,0,0,3,5,11,12,16,20,26,33,39,28
99,Combo,Restored,Restored1,P1,131,2,0,2,3,5,4,6,9,12,24,28,38,39
100,Combo,Restored,Restored1,P1,131,0,0,1,2,4,6,10,8,11,13,19,19,25
101,Combo,Restored,Restored1,P1,131,0,1,3,6,6,10,10,13,16,19,27,32,33
102,Combo,Restored,Restored1,P1,131,1,2,1,5,5,5,8,8,8,15,26,28,34
103,Hester,Restored,Restored1,P1,131,0,1,2,3,3,3,2,7,5,5,21,25,24
104,Hester,Restored,Restored1,P1,131,3,4,5,5,5,6,5,7,8,12,11,8,9
105,Hester,Restored,Restored1,P1,131,0,0,0,0,3,2,4,3,4,7,7,13,6
106,Hester,Restored,Restored1,P1,131,0,0,0,5,3,4,6,6,9,7,21,31,33
107,Hester,Restored,Restored1,P1,131,0,0,1,1,1,1,2,2,1,1,4,5,4
108,Hester,Restored,Restored1,P1,131,0,3,3,3,1,1,4,5,6,6,15,9,19
109,Potting Soil,Restored,Restored1,P2,142,0,0,7,20,11,13,33,33,46,47,46,56,62
110,Potting Soil,Restored,Restored1,P2,142,0,0,3,5,5,3,8,11,19,31,35,42,45
111,Potting Soil,Restored,Restored1,P2,142,0,0,4,6,14,13,19,25,28,38,54,57,63
112,Potting Soil,Restored,Restored1,P2,142,0,0,1,1,5,6,7,8,18,14,14,18,23
113,Potting Soil,Restored,Restored1,P2,142,0,0,2,5,10,10,18,18,24,24,32,33,35
114,Potting Soil,Restored,Restored1,P2,142,2,4,4,4,7,12,30,32,38,47,53,50,56
115,Combo,Restored,Restored1,P2,142,1,1,4,7,13,13,22,23,28,37,30,42,35
116,Combo,Restored,Restored1,P2,142,0,0,0,4,16,19,31,26,36,48,42,51,53
117,Combo,Restored,Restored1,P2,142,0,0,1,1,3,3,4,4,6,9,11,16,12
118,Combo,Restored,Restored1,P2,142,0,0,3,7,12,15,18,20,26,35,35,40,46
119,Combo,Restored,Restored1,P2,142,0,0,1,4,8,10,16,16,21,16,23,26,31
120,Combo,Restored,Restored1,P2,142,0,0,2,2,6,5,8,11,15,18,23,35,34
121,Hester,Restored,Restored1,P2,142,0,0,3,6,16,13,9,9,7,37,48,40,51
122,Hester,Restored,Restored1,P2,142,1,0,1,3,1,3,0,1,1,5,7,10,12
123,Hester,Restored,Restored1,P2,142,0,0,0,1,0,2,3,6,4,4,7,10,10
124,Hester,Restored,Restored1,P2,142,0,0,0,1,0,1,6,3,2,5,3,4,6
125,Hester,Restored,Restored1,P2,142,0,0,2,2,0,4,4,7,10,8,15,15,14
126,Hester,Restored,Restored1,P2,142,0,0,0,0,0,0,4,4,2,6,13,13,16
127,Potting Soil,Tidal,Tidal2,Yampah,120,1,1,5,5,1,12,15,30,33,43,55,50,57
128,Potting Soil,Tidal,Tidal2,Yampah,120,0,1,2,7,5,11,12,15,19,24,20,17,12
129,Potting Soil,Tidal,Tidal2,Yampah,120,0,0,1,1,1,8,11,12,16,20,15,14,11
130,Potting Soil,Tidal,Tidal2,Yampah,120,0,0,6,6,9,9,9,11,15,16,20,19,22
131,Potting Soil,Tidal,Tidal2,Yampah,120,0,0,9,11,13,13,14,17,27,36,38,40,38
132,Potting Soil,Tidal,Tidal2,Yampah,120,0,0,4,12,13,16,25,26,31,34,37,34,34
133,Combo,Tidal,Tidal2,Yampah,120,0,0,2,3,2,2,4,6,13,9,11,10,10
134,Combo,Tidal,Tidal2,Yampah,120,0,0,2,7,8,10,14,17,24,36,30,32,27
135,Combo,Tidal,Tidal2,Yampah,120,0,0,2,3,8,10,20,14,16,26,27,29,33
136,Combo,Tidal,Tidal2,Yampah,120,0,0,0,1,4,2,5,10,13,13,19,32,34
137,Combo,Tidal,Tidal2,Yampah,120,0,0,0,2,4,3,8,15,16,17,20,22,27
138,Combo,Tidal,Tidal2,Yampah,120,0,0,3,5,5,4,12,28,35,43,52,47,45
139,Hester,Tidal,Tidal2,Yampah,120,0,0,0,0,2,3,3,3,1,3,7,18,17
140,Hester,Tidal,Tidal2,Yampah,120,0,0,1,1,0,3,4,4,5,8,11,14,15
141,Hester,Tidal,Tidal2,Yampah,120,0,0,0,0,0,0,1,1,2,3,5,11,19
142,Hester,Tidal,Tidal2,Yampah,120,0,0,1,1,1,1,1,1,3,6,11,11,13
143,Hester,Tidal,Tidal2,Yampah,120,0,0,0,0,4,0,1,0,1,2,3,5,11
144,Hester,Tidal,Tidal2,Yampah,120,0,0,0,0,0,1,1,0,1,8,11,15,13
145,Potting Soil,Tidal,Tidal4,Kirby,103,0,0,0,1,3,2,8,14,15,19,21,21,18
146,Potting Soil,Tidal,Tidal4,Kirby,103,0,0,0,4,0,0,3,3,7,11,15,12,12
147,Potting Soil,Tidal,Tidal4,Kirby,103,0,0,0,1,1,1,2,2,3,4,7,13,12
148,Potting Soil,Tidal,Tidal4,Kirby,103,0,0,0,1,3,4,7,8,11,15,18,19,19
149,Potting Soil,Tidal,Tidal4,Kirby,103,0,0,1,2,3,8,11,16,21,20,20,15,20
150,Potting Soil,Tidal,Tidal4,Kirby,103,0,0,0,1,5,3,5,5,9,10,14,15,13
151,Combo,Tidal,Tidal4,Kirby,103,0,0,0,0,3,3,3,13,16,25,29,29,26
152,Combo,Tidal,Tidal4,Kirby,103,0,0,0,0,1,1,2,1,3,8,12,19,16
153,Combo,Tidal,Tidal4,Kirby,103,0,0,1,1,2,1,1,2,2,5,8,8,8
154,Combo,Tidal,Tidal4,Kirby,103,0,0,0,0,2,2,2,3,3,8,13,19,15
155,Combo,Tidal,Tidal4,Kirby,103,0,0,0,1,3,3,7,8,13,12,20,21,15
156,Combo,Tidal,Tidal4,Kirby,103,0,0,0,0,2,2,5,5,8,13,21,26,28
157,Hester,Tidal,Tidal4,Kirby,103,0,0,1,2,1,2,2,1,2,5,7,15,7
158,Hester,Tidal,Tidal4,Kirby,103,0,0,0,2,3,0,0,2,2,2,5,10,9
159,Hester,Tidal,Tidal4,Kirby,103,0,0,0,0,1,0,0,0,2,3,8,13,9
160,Hester,Tidal,Tidal4,Kirby,103,0,0,0,0,1,1,1,0,0,3,2,4,4
161,Hester,Tidal,Tidal4,Kirby,103,0,0,0,0,0,1,0,0,0,9,10,10,11
162,Hester,Tidal,Tidal4,Kirby,103,0,0,0,0,0,0,2,1,1,3,8,15,7
163,Potting Soil,Tidal,Tidal5,SharkFlats,79,0,0,1,3,5,13,16,17,23,25,26,21,26
164,Potting Soil,Tidal,Tidal5,SharkFlats,79,0,0,1,2,7,7,11,11,19,17,19,19,22
165,Potting Soil,Tidal,Tidal5,SharkFlats,79,0,0,4,7,13,14,16,17,25,23,25,20,24
166,Potting Soil,Tidal,Tidal5,SharkFlats,79,0,1,5,6,5,7,9,8,9,10,9,11,16
167,Potting Soil,Tidal,Tidal5,SharkFlats,79,0,0,2,7,9,8,11,11,16,16,14,15,14
168,Potting Soil,Tidal,Tidal5,SharkFlats,79,1,0,2,8,6,6,9,11,13,16,15,15,16
169,Combo,Tidal,Tidal5,SharkFlats,79,0,0,0,1,4,5,7,10,16,22,22,23,22
170,Combo,Tidal,Tidal5,SharkFlats,79,0,0,1,2,2,2,7,7,12,11,15,12,10
171,Combo,Tidal,Tidal5,SharkFlats,79,0,0,0,3,3,4,4,6,7,7,9,10,8
172,Combo,Tidal,Tidal5,SharkFlats,79,0,0,0,6,5,5,9,12,16,14,11,14,16
173,Combo,Tidal,Tidal5,SharkFlats,79,0,0,0,0,0,3,2,3,7,7,9,8,13
174,Combo,Tidal,Tidal5,SharkFlats,79,0,0,0,3,2,2,4,8,10,14,18,16,21
175,Hester,Tidal,Tidal5,SharkFlats,79,0,0,1,5,1,3,4,5,4,9,16,14,15
176,Hester,Tidal,Tidal5,SharkFlats,79,0,0,0,0,2,5,6,7,7,10,11,15,15
177,Hester,Tidal,Tidal5,SharkFlats,79,0,0,2,2,2,4,5,7,10,6,11,14,13
178,Hester,Tidal,Tidal5,SharkFlats,79,0,0,2,2,4,9,15,14,14,16,19,18,16
179,Hester,Tidal,Tidal5,SharkFlats,79,1,1,1,1,0,1,2,3,3,5,9,10,7
180,Hester,Tidal,Tidal5,SharkFlats,79,0,0,0,0,2,1,4,4,5,8,9,8,8
